2026-01-04 17:54:10,123 INFO    MainThread:51528 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_setup.py:_flush():80] Configure stats pid to 51528
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_setup.py:_flush():80] Loading settings from /home/leehw/.config/wandb/settings
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_setup.py:_flush():80] Loading settings from /home/leehw/project/smartphone_defect_segmentation/wandb/settings
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/leehw/project/smartphone_defect_segmentation/wandb/run-20260104_175410-6i1djrpc/logs/debug.log
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/leehw/project/smartphone_defect_segmentation/wandb/run-20260104_175410-6i1djrpc/logs/debug-internal.log
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_init.py:init():841] calling init triggers
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'model': 'unet', 'img_h': 144, 'img_w': 256, 'train_ratio': 0.7, 'test_ratio': 0.15, 'seed': 42, 'batch_size': 8, 'epochs': 50, 'lr': 0.001, 'weight_decay': 0.0, 'threshold': 0.5, 'base_channels': 64, 'loss': 'BCEDice', 'bce_weight': 0.5, '_wandb': {}}
2026-01-04 17:54:10,124 INFO    MainThread:51528 [wandb_init.py:init():889] starting backend
2026-01-04 17:54:10,356 INFO    MainThread:51528 [wandb_init.py:init():892] sending inform_init request
2026-01-04 17:54:10,364 INFO    MainThread:51528 [wandb_init.py:init():900] backend started and connected
2026-01-04 17:54:10,380 INFO    MainThread:51528 [wandb_init.py:init():970] updated telemetry
2026-01-04 17:54:10,384 INFO    MainThread:51528 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-01-04 17:54:10,995 INFO    MainThread:51528 [wandb_init.py:init():1041] starting run threads in backend
2026-01-04 17:54:11,026 INFO    MainThread:51528 [wandb_run.py:_console_start():2521] atexit reg
2026-01-04 17:54:11,026 INFO    MainThread:51528 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-01-04 17:54:11,026 INFO    MainThread:51528 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-01-04 17:54:11,026 INFO    MainThread:51528 [wandb_run.py:_redirect():2461] Redirects installed.
2026-01-04 17:54:11,028 INFO    MainThread:51528 [wandb_init.py:init():1081] run started, returning control to user process
2026-01-04 17:54:13,095 INFO    wandb-AsyncioManager-main:51528 [service_client.py:_forward_responses():80] Reached EOF.
2026-01-04 17:54:13,095 INFO    wandb-AsyncioManager-main:51528 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
